SQLDATEE,Count,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone
20170215,1365,0.738942742,8.120445618,1.052665853,7.913321578,-1.433222676
20170216,1268,0.894894257,8.431697048,1.066267964,8.20850816,-1.449585593
20170217,1101,0.896288464,8.796578404,1.09704165,8.458366389,-1.753967269
20170218,907,0.834650146,8.312322071,1.029768467,8.066392703,-2.262144504
20170219,747,0.795111414,7.634749104,1.035398738,7.426016994,-1.437530855
20170220,1022,1.006512864,8.074987152,1.035225049,7.868224036,-1.050086428
20170221,1217,0.877615523,8.146989745,1.068337442,7.909074497,-0.94199947
20170222,1346,1.139444025,8.051912958,1.059666502,7.839297978,-0.651938218
20170223,1276,1.230735427,8.107831858,1.037095089,7.932989842,-0.435702124
20170224,1132,1.04290003,8.59965466,1.058056747,8.367277741,-0.787893049
20170225,837,1.131183544,8.465813915,1.036081243,8.100838402,-1.036634004
20170226,728,1.170789503,7.869885371,1.031567242,7.684253939,-0.831676268
20170227,823,1.021845427,8.069665337,1.058739802,7.816080189,-0.708077985
20170228,898,0.305070554,9.024036981,1.060825644,8.638611494,-1.411521979
20170301,1172,0.761367909,8.909638953,1.12399033,8.644892574,-1.539147062
20170302,1158,0.925169297,8.827609549,1.06583909,8.626562636,-1.40322666
20170303,1127,0.788462133,8.504387222,1.066577936,8.264863131,-1.838855868
20170304,772,0.942191846,7.762594502,1.01892631,7.568654548,-1.985988728
20170305,669,0.759186538,8.011751187,1.021674141,7.805936258,-1.364794752
20170306,1085,0.712836291,8.123137582,1.041551459,7.87900438,-1.490843577
20170307,1126,0.696807744,8.033095694,1.032415631,7.862232084,-1.696420249
20170308,1189,0.531779302,8.564989321,1.068444872,8.302331985,-1.175604041
20170309,1143,0.6145216,8.267768912,1.081676249,8.066514795,-1.253815125
20170310,1079,0.95555148,8.097725755,1.08532077,7.841679701,-1.141629172
20170311,793,1.08400045,8.012417175,1.035519126,7.789383106,-1.425814071
20170312,669,0.551485342,7.818049709,1.030393622,7.641772274,-1.527545505
20170313,1067,0.9813137,7.993732524,1.058257363,7.786635783,-1.273772532
20170314,1095,0.777718253,7.994626411,1.058581905,7.791557332,-1.420596443
20170315,1132,0.687964522,8.070005668,1.045212014,7.88752175,-1.268610603
20170316,1186,0.962144867,8.256066951,1.051180438,7.949657335,-1.374304146
20170317,1282,1.138183629,8.176722988,1.06850911,7.984063489,-1.279456881
20170318,921,1.02267473,7.908765026,1.030646037,7.637470088,-1.313161811
20170319,770,0.596601663,8.370306865,1.028571429,8.173779907,-1.457056728
20170320,1151,1.0434038,9.165942138,1.049591108,8.964343095,-1.286249662
20170321,1271,0.735844273,8.907344542,1.047416732,8.686802373,-1.307227985
20170322,1191,0.868952377,8.992116352,1.037741394,8.764958848,-1.422560484
20170323,1079,1.0233759,8.329604869,1.022968798,8.088739407,-1.543590985
20170324,1081,0.859238811,8.423186094,1.025131051,8.254784296,-1.439102257
20170325,873,0.879705813,8.46739949,1.022966781,8.227116939,-1.558650989
20170326,699,0.206634408,7.921406064,1.016928946,7.79294477,-1.526048364
20170327,1060,0.924867832,8.12157959,1.03291779,7.927196847,-1.337378698
20170328,1307,1.125373873,8.710911109,1.032128284,8.480264601,-1.48688483
20170329,1195,1.037290284,8.472303573,1.044630404,8.181538307,-1.380963739
20170330,1331,0.779009115,8.377981787,1.036014812,8.13901896,-1.220969895
20170331,1303,0.852596498,8.387121227,1.047249936,8.230670091,-1.664448683
20170401,1003,1.212116174,8.287825988,1.065287471,8.098239985,-1.760854447
20170402,1170,1.123157478,8.335155789,1.021961742,8.139191311,-1.514461137
20170403,1388,0.977025177,8.364056468,1.064217099,8.18995555,-1.378784672
20170404,1367,0.784387035,8.570635894,1.066380305,8.391229013,-1.70823913
20170405,1287,0.897373083,8.4004866,1.037270137,8.288582539,-1.468569729
20170406,1379,0.352410123,9.066632922,1.042301184,8.796985918,-1.521143078
20170407,1318,0.794433752,8.666839873,1.042589782,8.387975913,-1.34721604
20170408,868,0.82766674,7.953051217,1.035341233,7.787231981,-1.545201117
20170409,781,0.381241438,7.714473416,1.008322663,7.522636298,-1.847880383
20170410,1178,0.679634102,8.403416009,1.039742501,8.200136327,-2.333291648
20170411,1152,0.58748969,8.229660356,1.035675204,8.103081848,-2.010681316
20170412,1172,0.792622787,8.555815424,1.051655358,8.322102688,-1.533087415
20170413,1059,0.769305721,8.340719597,1.074362606,8.219485307,-1.894482897
20170414,718,0.261621904,8.392006508,1.071146704,8.18407642,-1.764523191
20170415,673,0.876808868,8.774888947,1.026250619,8.549290355,-1.430993246
20170416,754,0.911978242,8.188779057,1.015251989,7.953168977,-1.700574286
20170417,1060,0.527275055,8.311826994,1.040125786,8.022322133,-1.847413471
20170418,1192,0.87658044,8.466895679,1.069622883,8.306995438,-1.527197908
20170419,1050,0.870887176,8.357593544,1.064962652,8.078326833,-1.444407196
20170420,1149,0.619171075,8.131678343,1.033986075,7.954109697,-1.53267359
20170421,1146,0.776393382,8.131375358,1.060311227,7.920271012,-1.262481543
20170422,770,0.65390081,8.355939342,1.052733176,8.167304009,-1.319346692
20170423,694,0.36131506,7.408539926,1.02401537,7.239778828,-1.537182954
20170424,953,0.77495533,7.738445482,1.044820866,7.518617612,-1.316780733
20170425,1158,0.718698929,8.352449911,1.067602188,8.166499165,-1.441021988
20170426,1253,0.870231759,7.990866938,1.041300878,7.741875772,-1.306696993
20170427,1655,1.317738697,8.290651929,1.058572627,8.101129347,-1.1310546
20170428,1393,1.149089374,7.873706621,1.022505384,7.711867675,-1.144332652
20170429,880,0.717616382,8.131736928,1.030662879,7.919426322,-1.2811063
20170430,756,0.698082376,7.704208677,1.027296777,7.488926102,-1.22279975
20170501,758,0.837504583,7.986570195,1.028342128,7.82359464,-1.184810856
20170502,1159,1.177672452,8.502465064,1.052288508,8.309215791,-1.075015387
20170503,1124,1.045221017,8.37753082,1.06183274,8.198756421,-1.493179851
20170504,1115,1.036310662,8.468714597,1.108469901,8.213283606,-1.688303274
20170505,1157,1.061370656,8.045475921,1.031237396,7.856732991,-1.589929691
20170506,934,0.775578836,8.602448301,1.053943612,8.377965248,-2.022352238
